profile,n,mem_mean,mem_std,cpu_mean,cpu_std,exec_mem_mean,exec_mem_std,exec_cpu_mean,exec_cpu_std
Без нагрузки,0,132.22,0.074921875,0.139,0.0144,0,0,0,0
SingleStep (x86),10,277.74,0.4440039063,5.74,0.375,10.45,0.1630859375,0.958,0.0476
SingleStep (x86),50,854.4,0.3433984375,26.9,0.921,50.74,0.2956738281,4.69,0.127
SingleStep (x86),100,1581.1584,0.3017578125,50.6,1.8,100.59,0.275390625,8.98,0.247
BusyLoop (x86),10,275.33,0.248046875,62.5,1.97,10.45,0.1875,58.9,1.94
BusyLoop (x86),50,857.8,0.3232421875,313.92,6.89,50.81,0.271484375,301.25,6.76
BusyLoop (x86),100,1591.6032,0.390625,619.47,11.73,100.79,0.33203125,594.65,11.39
SingleStep (AVR),10,270.9,0.10546875,6.81,0.3383,77.98,0,1.5,0.0941
SingleStep (AVR),50,839.8,0.294921875,30.62,1.2579,401.78,0,7.29,0.2039
SingleStep (AVR),100,1648.64,0.158203125,57.84,1.92,805.39,0,13.88,0.4
BusyLoop (AVR),10,286.22,0.140625,63.81,2.68,77.94,0,60.23,2.6647
BusyLoop (AVR),50,876.43,0.1787109375,315.96,6.14,391.76,0,302.5404,6.0213
BusyLoop (AVR),100,1611.9808,0.1982421875,617.98,13.5217,775.42,0,593.99,12.6684
